pred,actual,gated,active
0.010353215,-0.014143418,0.010353215,1
0.011776364,-0.013766061,0.011776364,1
0.012239222,-0.020893626,0.012239222,1
0.01311741,-0.02912057,0.01311741,1
0.012744209,-0.02902775,0.012744209,1
0.012485377,-0.021599302,0.012485377,1
0.010135287,-0.012739508,0.010135287,1
0.009173934,0.0006401063,0.009173934,1
0.007984619,0.006090898,0.007984619,1
0.007276878,-0.0027105126,0.007276878,1
0.0068917135,0.019108562,0.0068917135,1
0.006867564,0.017787809,0.006867564,1
0.0069322414,0.038199946,0.0069322414,1
0.0069220983,0.0543837,0.0069220983,1
0.006500025,0.045241777,0.006500025,1
0.0063382275,0.04320067,0.0063382275,1
0.006274703,0.030271148,0.006274703,1
0.00659995,0.026736379,0.00659995,1
0.007019095,0.019934146,0.007019095,1
0.007270589,0.022969658,0.007270589,1
0.007765244,0.013163345,0.007765244,1
0.008180901,0.016247073,0.008180901,1
0.008685439,-0.0023978052,0.008685439,1
0.009321871,0.008508478,0.009321871,1
0.009861184,-0.0039572627,0.009861184,1
0.01052417,0.0031745906,0.01052417,1
0.011374256,0.012194531,0.011374256,1
0.0117983045,0.00603611,0.0117983045,1
0.011986963,0.013394491,0.011986963,1
0.011823147,0.01689726,0.011823147,1
0.011255919,0.018657284,0.011255919,1
0.010410709,0.023282118,0.010410709,1
0.009185777,0.024830135,0.009185777,1
0.008348159,0.019752864,0.008348159,1
0.007651822,0.027746087,0.007651822,1
0.007121192,0.017400114,0.007121192,1
0.006873753,0.0009288407,0.006873753,1
0.0066916826,0.005157405,0.0066916826,1
0.0063164355,-0.0011882429,0.0063164355,1
0.005992312,-0.0061998307,0.005992312,1
0.0060494733,0.0030368646,0.0060494733,1
0.0062815445,-0.004929472,0.0062815445,1
0.0068306536,-0.023285236,0.0068306536,1
0.0070184176,-0.023167564,0.0070184176,1
0.007305514,-0.024135722,0.007305514,1
0.0075470065,-0.01169682,0.0075470065,1
0.007929662,0.022703223,0.007929662,1
0.007806229,0.028097104,0.007806229,1
0.0075844848,0.032268602,0.0075844848,1
0.007053688,0.030536527,0.007053688,1
0.006427486,0.025899602,0.006427486,1
0.0057062507,0.029535554,0.0057062507,1
0.006056107,0.042717002,0.006056107,1
0.006653675,0.024755675,0.006653675,1
0.007226093,0.031671625,0.007226093,1
0.0076484657,0.023210408,0.0076484657,1
0.007859753,-0.00201216,0.007859753,1
0.007893565,-0.0040833293,0.007893565,1
0.00803798,-0.0043699476,0.00803798,1
0.007917157,-0.0023294727,0.007917157,1
0.0067212307,0.0062900586,0.0067212307,1
0.0064389566,0.0022321644,0.0064389566,1
0.00635516,0.0139868185,0.00635516,1
0.0066081122,0.03007004,0.0066081122,1
0.0068806335,0.026513377,0.0068806335,1
0.0069854804,0.028648105,0.0069854804,1
0.0070522935,0.026702227,0.0070522935,1
0.007007542,0.023796765,0.007007542,1
0.0069719017,0.013989864,0.0069719017,1
0.0069375294,0.007940054,0.0069375294,1
0.0071019456,0.010389224,0.0071019456,1
0.0072302343,0.0087534655,0.0072302343,1
0.00745373,0.0031015887,0.00745373,1
0.007889258,0.0044533666,0.007889258,1
0.008510048,0.00012066063,0.008510048,1
0.009114231,-0.03521407,0.009114231,1
0.009864612,-0.03424297,0.009864612,1
0.009092413,-0.026176166,0.009092413,1
0.007477447,-0.013015402,0.007477447,1
0.007159129,0.00085003476,0.007159129,1
0.0066200434,-0.0076592113,0.0066200434,1
0.006034852,-0.0132881915,0.006034852,1
0.0065846457,-0.023822138,0.0065846457,1
0.006702508,-0.031683844,0.006702508,1
0.0063002906,-0.03008954,0.0063002906,1
